"","month","year","Date","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
"90",1,2018,2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,27,42.5
"91",1,2018,2018-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,31
"92",1,2018,2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,38
"93",1,2018,2018-01-09,"Bryson City","Swain",35.434767,-83.442133,NA,78
"94",1,2018,2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,20
"95",1,2018,2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,NA,60
"96",1,2018,2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,49
"97",1,2018,2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,53
"98",1,2018,2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,54
"99",1,2018,2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,NA,19
"100",1,2018,2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,43
"101",1,2018,2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,30,35
"102",1,2018,2018-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,31
"103",1,2018,2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,43
"104",1,2018,2018-01-10,"Bryson City","Swain",35.434767,-83.442133,NA,56
"105",1,2018,2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,14
"106",1,2018,2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,NA,39
"107",1,2018,2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,39
"108",1,2018,2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,38
"109",1,2018,2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,32
"110",1,2018,2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,NA,35
"111",1,2018,2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,29
"112",1,2018,2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,33,22
"113",1,2018,2018-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,37
"114",1,2018,2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
"115",1,2018,2018-01-11,"Bryson City","Swain",35.434767,-83.442133,NA,17
"116",1,2018,2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,12
"117",1,2018,2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,NA,59
"118",1,2018,2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,43.5
"119",1,2018,2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,0
"120",1,2018,2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,26,35
"121",1,2018,2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,48.5
"122",1,2018,2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,NA,34
"123",1,2018,2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,NA,3
"124",1,2018,2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,55
"125",1,2018,2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,26,23
"126",1,2018,2018-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,27.5
"127",1,2018,2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,41
"128",1,2018,2018-01-12,"Bryson City","Swain",35.434767,-83.442133,NA,10
"129",1,2018,2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,0
"130",1,2018,2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,NA,23
"131",1,2018,2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,5
"132",1,2018,2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,33,20
"133",1,2018,2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,23
"134",1,2018,2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,NA,8
